query,expected_source,expected_keywords,actual_source,actual_answer_summary,score,verdict,notes
What fields are stored in leave requests in the ERP HR module?,erp_hr_policy,"employee ID; department; leave type; start date; end date; approval status",,,, ,
Who must approve an annual leave request before finalization?,erp_hr_policy,"manager; approve; leave request",,,, ,
How often is payroll processed in this ERP system?,erp_hr_policy,"monthly; payroll",,,, ,
Which salary-related items can finance users review in payroll?,erp_hr_policy,"salary components; deductions; reimbursements; final payout status",,,, ,
What does the ERP inventory policy say about stock updates?,erp_inventory_policy,"inventory; stock; update",,,, ,
How are purchase approvals handled in the procurement policy?,erp_procurement_policy,"purchase; approval; procurement",,,, ,
What controls are defined for ERP security access permissions?,erp_security_access_policy,"security; access; permissions",,,, ,
What is the process for handling sales order status changes?,erp_sales_order_policy,"sales order; status; workflow",,,, ,
How does the ERP quality control policy define defect handling?,erp_quality_control_policy,"quality control; defect; corrective action",,,, ,
What is the policy for asset lifecycle tracking in ERP?,erp_asset_management_policy,"asset lifecycle; depreciation; maintenance",,,, ,
How should project milestones be monitored in project management policy?,erp_project_management_policy,"project milestones; progress; tracking",,,, ,
How is customer support ticket escalation defined in ERP policy?,erp_customer_support_policy,"ticket escalation; support; SLA",,,, ,
product return policy,none,"no matching ERP information",,,, ,
refund window for customers,none,"no matching ERP information",,,, ,
how to reset user password,none,"no matching ERP information",,,, ,
vacation approval,erp_hr_policy,"annual leave; manager approval",,,, ,
